Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
0,2019-07-09 18:13:51,3284636877601489,"fraud_Kutch, Hermiston and Farrell",misc_pos,132.08,Jennifer,Garcia,M,8446 Main St,Houston,TX,58138,36.84866175997036,-87.5845418136457,498767,Engineer,1955-08-06,89a9258d509ecdde653fd58773bbf4d5,1562696031,37.098534421916845,-87.92419173665934,0,
1,2019-02-11 20:57:50,1806999087872028,fraud_Keeling-Crist,gas_transport,477.84,Sarah,Gill,M,8956 Main St,Chicago,TX,62613,46.56895432197181,-79.87162689314552,519400,Psychologist,1998-08-11,3de41927d38ff34f2f8ba2ef2f767952,1549918670,46.77253167829884,-79.4197236323309,0,
2,2019-04-13 14:55:05,8393811742409058,fraud_Lind-Buckridge,shopping_pos,383.77,Emma,Patel,F,7761 Main St,Phoenix,AZ,90162,30.655274116881564,-118.74692613859142,979658,Teacher,1983-11-02,9f1e2345a0e6c66aba288a9fb7198312,1555167305,31.047226540232323,-118.72270392903775,0,75963.0
3,2019-07-23 11:47:45,1331000517753595,fraud_Keeling-Crist,gas_transport,382.24,David,Singh,M,901 Main St,Houston,CA,33418,33.82640966413723,-120.14096149943315,641946,Nurse,1993-07-31,4f00c594f6429cbbe92b93081d3dea0f,1563882465,33.73427587532373,-119.85426298206667,0,
4,2019-04-07 12:49:51,3945556355009753,"fraud_Rippin, Kub and Mann",shopping_pos,494.9,David,Sanchez,M,4161 Main St,Chicago,TX,10820,40.80235797070088,-106.08445124159326,482230,Engineer,1976-05-06,efa07f4ada9893e36a51e2f38466cfa0,1554641391,40.38534265871108,-105.82995887778307,0,15584.0
5,2019-05-12 15:55:31,3624112462944581,"fraud_Heller, Gutmann and Zieme",misc_net,390.42,Edward,White,F,9243 Main St,Chicago,CA,79607,41.941650968852755,-118.8372833633875,171533,Driver,1965-04-22,6ed400495991177444c4768831e4eeda,1557676531,41.699339600252706,-119.13170891212678,0,41893.0
6,2019-08-05 04:57:18,954884737320010,fraud_Keeling-Crist,misc_net,148.75,Tyler,Khan,F,7196 Main St,Chicago,TX,19059,46.550740452203684,-116.53501755768025,722445,Engineer,1958-01-23,5634d2b678ec96d627ca9033f65e4f5f,1564981038,46.87585748585202,-116.43108175195647,0,56914.0
7,2019-03-23 14:22:20,2084289495706865,"fraud_Rippin, Kub and Mann",shopping_pos,325.29,Jeremy,White,F,5633 Main St,New York,NY,70774,45.793335770078016,-109.16865282134209,994263,Psychologist,1954-03-23,47ef6ae9c2c0f3416b1ef16d1b74ecea,1553350940,45.80993879958696,-108.88147346879748,0,
8,2019-07-27 05:12:08,3680016694934943,"fraud_Heller, Gutmann and Zieme",grocery_pos,45.77,Emma,Patel,F,1821 Main St,Chicago,IL,61662,32.66367023489476,-95.91780252034562,191342,Psychologist,2003-01-01,1884dd6f35961b8f6b57292878ee44e2,1564204328,32.44938940474715,-95.55888374099386,0,84816.0
9,2019-07-23 02:26:35,8194399737763956,"fraud_Heller, Gutmann and Zieme",grocery_pos,203.89,Sarah,White,M,4074 Main St,New York,IL,97684,32.861249371517054,-115.57402202896994,550538,Teacher,1994-08-16,f9c506a7875d30e316d77df12d8819a3,1563848795,33.294437578896705,-116.00890979152175,0,16824.0
10,2019-02-04 21:48:27,2395506178087533,fraud_Lind-Buckridge,food_dining,446.32,Daniel,White,F,4395 Main St,New York,CA,11159,40.92561677472467,-75.4742397409778,936600,Psychologist,2001-09-19,2a1c9ee605dfba6a34809fc3caa214b0,1549316907,40.90181316779241,-75.82483522131307,0,37465.0
11,2019-05-17 08:49:20,3481082118290177,"fraud_Heller, Gutmann and Zieme",misc_pos,236.47,Edward,Khan,F,1620 Main St,Houston,IL,92390,27.37014835914168,-85.2719719589939,603317,Nurse,1994-10-21,59b9f88ac9f642f841a3a41c450c158c,1558082960,27.839234244134815,-84.9892672858317,0,84345.0
12,2019-01-23 06:05:10,514091001097676,fraud_Lind-Buckridge,shopping_pos,285.14,Daniel,Singh,M,863 Main St,Chicago,IL,88153,46.80389457905693,-102.4615228914524,925822,Accountant,1961-08-01,a0797044dbd9e325be60ec5b1ff2acbc,1548223510,46.919313511555195,-102.51207704296725,0,75081.0
13,2019-06-15 11:54:40,2694988635048913,"fraud_Heller, Gutmann and Zieme",misc_net,336.18,Michael,Sanchez,M,4010 Main St,Houston,TX,70558,44.69994336877632,-68.16122853749985,244655,Developer,1988-03-11,9519a1b125951b0fe1daa483f9ee58de,1560599680,44.51749922584782,-68.1284037815454,0,
